category,partner,dataset,slug,region,canDownload,canSample,timePartitioned,dateStart,dateEnd,rowCount,columns,sizeBytes,fileType,summary
Company Insights,BrightQuery,504 Data,504-data,US,True,True,False,,,134878,42,5510656,csv,"Comprehensive dataset providing detailed information on all Small Business Administration (SBA) loan transactions, loan terms, and statuses. Includes financials, employment & payroll, firmographics, a"
Company Insights,BrightQuery,504 Data - Legal Entity,504-data-legal-entity,United States,True,True,False,,,298250,75,38521856,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies. Leg"
Company Insights,BrightQuery,7a - Legal Entity,7a-legal-entity,United States,True,True,False,,,201880,75,24553472,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies. Leg"
Company Insights,BrightQuery,7a Data,7a-data,United States,True,True,False,,,753402,42,32579072,csv,"All SBA 7a loan data transactions, loan terms, and statuses. This data can be used to estimate the impact of small business loans on small business growth and employment, estimating the impact of smal"
Company Insights,BrightQuery,Age Range,industry-statistics,United States,True,True,False,,,24118211,40,2191256064,csv,"Statistical data of all US-based companies with full-time employment. Rows are statistically aggregated by companies that share the same sector, industry, state, and revenue ranges.    Attributes incl"
Company Insights,BrightQuery,Benefit Plan Data,benefit-plan-data,US,True,True,False,,,58693,80,3607040,csv,"Benefit plan data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to present."
Company Insights,BrightQuery,Corporate Status,corporate-status,United States,True,True,False,,,2744625,19,85626880,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies.    "
Company Insights,BrightQuery,Employment Data (Annual),employment-data-annual,US,True,True,False,,,67790,6,1352192,csv,"Employment data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to the present."
Company Insights,BrightQuery,Employment Data (Monthly),employment-data-monthly,US,True,True,False,,,779576,8,6634496,csv,"Employment data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to present."
Company Insights,BrightQuery,Employment Data (Most Recent),employment-data-most-recent,US,True,True,False,,,5406,5,198656,csv,"Employment data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to present."
Company Insights,BrightQuery,Employment Data (Quarterly),employment-data-quarterly,US,True,True,False,,,282766,11,3279360,csv,"Employment data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to present."
Company Insights,BrightQuery,Financials (Annual),financials-annual,US,True,True,False,,,590831,65,144606720,csv,"Financial data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to present."
Company Insights,BrightQuery,Firmographic Information,firmographic-information,US,True,True,False,,,37902,64,2633728,csv,"Firmographic data for public companies. This is part of a package of company data for all US-based public companies (approximately 5k), which includes time series data from 2010 to present."
